years,cif_built,cif_withdrawn,naive_km_built,at_risk
4.7529089664613275,0.1055331082263304,0.6161948707807051,0.1986115913752713,3372
4.75564681724846,0.1055331082263304,0.6163601154487532,0.1986115913752713,3368
4.761122518822724,0.10569840200126349,0.6164427623362198,0.19908789949332462,3365
4.763860369609857,0.10569840200126349,0.6165254092236863,0.19908789949332462,3362
4.766598220396989,0.10578104888873002,0.6165254092236863,0.19932619526854234,3361
4.769336071184121,0.1058637203808073,0.6166080807157636,0.1995645619862355,3359
4.772073921971253,0.10602906336496186,0.6169387666840727,0.2000414374333691,3357
4.774811772758385,0.10611173485703913,0.6169387666840727,0.20028015977373514,3351
4.777549623545517,0.1062770778411937,0.61702143817615,0.20075760445446722,3350
4.783025325119781,0.1062770778411937,0.6173521241444591,0.20075760445446722,3347
4.785763175906913,0.10635974933327097,0.6173521241444591,0.20099668384290437,3343
4.788501026694045,0.10635974933327097,0.6177656053275214,0.20099668384290437,3341
4.791238877481177,0.1065251913994414,0.6180137684267771,0.20147584625139436,3335
4.7939767282683095,0.1065251913994414,0.6180965143084755,0.20147584625139436,3329
4.7967145790554415,0.1065251913994414,0.6181794595778405,0.20147584625139436,3320
4.799452429842574,0.10669108193817158,0.6182624048472055,0.20195702983304464,3319
4.804928131416838,0.10669108193817158,0.6184282953859357,0.20195702983304464,3316
4.80766598220397,0.10677402720753666,0.6188430217327611,0.20219783941969727,3314
4.810403832991102,0.10685697247690175,0.6190918575408563,0.20243901298698275,3308
4.813141683778234,0.10693994285836776,0.6199215613555163,0.20268047862035032,3303
4.815879534565366,0.10702291323983378,0.6205023540257785,0.20292267774592132,3292
4.818617385352498,0.10702291323983378,0.6207514168527751,0.20292267774592132,3282
4.82135523613963,0.107105934182166,0.6207514168527751,0.20316576323608726,3279
4.824093086926762,0.107105934182166,0.6208344377951074,0.20316576323608726,3278
4.826830937713894,0.10718895512449823,0.6208344377951074,0.20340892290553003,3277
4.829568788501026,0.10718895512449823,0.6210004796797719,0.20340892290553003,3276
4.832306639288158,0.10718895512449823,0.6212495425067686,0.20340892290553003,3274
4.8350444900752905,0.10735499700916269,0.6213325634491008,0.20389598562463396,3271
4.837782340862423,0.10735499700916269,0.6214157116070971,0.20389598562463396,3263
4.8405201916495555,0.10743817066490748,0.6215820589185866,0.20414011442389035,3261
4.843258042436688,0.10752134432065226,0.6215820589185866,0.20438439308735756,3258
4.84599589322382,0.10760451797639704,0.6218315798858209,0.20462867175082478,3257
4.848733744010952,0.10760451797639704,0.6219147535415657,0.20462867175082478,3253
4.851471594798084,0.10777086528788661,0.6228296637547582,0.20511783000928063,3252
4.85968514715948,0.10777086528788661,0.6232455320334821,0.20511783000928063,3239
4.862422997946612,0.1078540389436314,0.6234950530007164,0.20536361917749046,3234
4.865160848733744,0.10793721259937618,0.623661400312206,0.20560963663285348,3230
4.867898699520876,0.10802038625512096,0.6239109212794403,0.20585580656262326,3227
4.870636550308008,0.10818673356661053,0.6240772685909298,0.20634860469693128,3223
4.87337440109514,0.10826990722235531,0.6242436159024194,0.20659515685452778,3219
4.876112251882272,0.10876894915682402,0.624409963213909,0.20807538977084394,3216
4.878850102669404,0.10893529646831358,0.6244931368696537,0.2085691083557748,3208
4.8815879534565365,0.10893529646831358,0.6246594841811433,0.2085691083557748,3205
4.887063655030801,0.10901847012405837,0.624742657836888,0.20881619886206393,3203
4.889801505817933,0.10901847012405837,0.6249922567794246,0.20881619886206393,3200
4.892539356605065,0.10918523455860164,0.6253257856485112,0.2093122388627774,3190
4.895277207392197,0.10926866918455792,0.6253257856485112,0.209560726531268,3182
4.898015058179329,0.10951897306242676,0.6253257856485112,0.21030618953673996,3181
4.900752908966461,0.10968584231433932,0.6253257856485112,0.2108031648737213,3178
4.903490759753593,0.1097692769402956,0.6256595241523363,0.21105165254221192,3176
4.906228610540725,0.10985279057631435,0.625743037788355,0.2113006892680509,3168
4.908966461327857,0.10985279057631435,0.6258265514243738,0.2113006892680509,3166
4.91170431211499,0.10985279057631435,0.6264113316411865,0.2113006892680509,3164
4.914442162902122,0.11018695070020729,0.6266619517341061,0.21229999153061907,3157
4.917180013689254,0.11027049073118052,0.6266619517341061,0.21255005502537117,3150
4.919917864476386,0.11027049073118052,0.6267454917650793,0.21255005502537117,3149
4.922655715263518,0.11027049073118052,0.6268290317960525,0.21255005502537117,3148
4.9253935660506505,0.11043757079312698,0.6270796518889722,0.21305049985852953,3147
4.9281314168377826,0.11052111082410021,0.6271631919199454,0.21330096118893738,3142
4.930869267624915,0.1106047040991977,0.6274139717452379,0.21355166196612385,3138
4.933607118412047,0.11077247952292846,0.6274978594571033,0.21405531123799948,3123
4.936344969199179,0.11077247952292846,0.6275818009776357,0.21405531123799948,3118
4.939082819986311,0.11077247952292846,0.6276657424981681,0.21405531123799948,3117
4.941820670773443,0.11077247952292846,0.6278336255392328,0.21405531123799948,3116
4.944558521560575,0.11094041649365627,0.6280855309953245,0.21456025482217045,3113
4.947296372347707,0.11102438497902017,0.6285893419075079,0.21481297031289692,3108
4.950034223134839,0.11110835346438408,0.6288412473635996,0.21506617477264767,3101
4.952772073921971,0.11110835346438408,0.6289252158489634,0.21506617477264767,3097
4.955509924709103,0.11119232194974799,0.6290931528196912,0.21531970636994335,3096
4.958247775496235,0.1113602589204758,0.6291771213050551,0.215827097442449,3093
4.960985626283367,0.1114442274058397,0.6294290267611468,0.2160808750808172,3090
4.963723477070499,0.1114442274058397,0.6295129952465106,0.2160808750808172,3086
4.9664613278576315,0.11152819589120361,0.6297649007026023,0.21633498176636634,3085
4.969199178644764,0.11152819589120361,0.6298488691879661,0.21633498176636634,3081
4.974674880219028,0.11161216437656751,0.62993283767333,0.21658941846059798,3080
4.97741273100616,0.11161216437656751,0.6300168061586938,0.21658941846059798,3078
4.980150581793292,0.11169613286193142,0.6301007746440577,0.21684402053454643,3077
4.982888432580425,0.11186406983265923,0.630688554041605,0.21735339027728817,3075
4.985626283367557,0.11211597528875095,0.6307725225269688,0.21811918930832797,3066
4.988364134154689,0.11211597528875095,0.6308564910123327,0.21811918930832797,3062
4.991101984941821,0.11219994377411485,0.6308564910123327,0.21837462243825012,3061
4.993839835728953,0.11219994377411485,0.6313603019245161,0.21837462243825012,3060
4.996577686516085,0.11219994377411485,0.6314442704098799,0.21837462243825012,3054
4.999315537303217,0.11245184923020657,0.6315282388952438,0.21914267881973892,3053
5.002053388090349,0.11253587283108434,0.6317803096978771,0.21939894968327034,3047
5.004791238877481,0.11261992405313268,0.6319484121419738,0.2196555575236111,3042
5.007529089664613,0.11261992405313268,0.6320324910306522,0.2196555575236111,3038
5.0102669404517455,0.11261992405313268,0.632200648808009,0.2196555575236111,3037
5.0130047912388775,0.11270400294181104,0.6323688065853658,0.2199126726611651,3035
5.018480492813142,0.11278808183048941,0.6325369643627226,0.22016995739973333,3032
5.021218343600274,0.11278808183048941,0.6327051221400793,0.22016995739973333,3029
5.023956194387406,0.11287216071916778,0.6327051221400793,0.22042758212474167,3027
5.026694045174538,0.11304059681128346,0.6327893401861372,0.22094368435438427,3021
5.02943189596167,0.11304059681128346,0.6329578321072525,0.22094368435438427,3017
5.032169746748802,0.11312484277184116,0.6329578321072525,0.22120207782557677,3015
5.037645448323066,0.11312484277184116,0.633379061910041,0.22120207782557677,3014
5.040383299110198,0.11337758065351426,0.6334633078705987,0.22197854634220127,3009
5.04312114989733,0.11346182661407196,0.6338002917128295,0.2222374553118045,3005
5.045859000684462,0.11354607257462966,0.6338002917128295,0.2224967094933672,3000
5.048596851471594,0.11354607257462966,0.6338845376733871,0.2224967094933672,2999
5.0513347022587265,0.11363031853518736,0.6338845376733871,0.22275605015064093,2998
5.054072553045859,0.11371456449574506,0.6339687836339448,0.22301539080791466,2997
5.0568104038329915,0.11379881045630276,0.6339687836339448,0.22327481805639282,2995
5.062286105407256,0.11388305641686046,0.6339687836339448,0.22353424530487098,2994
5.06776180698152,0.11396730237741816,0.6339687836339448,0.22379367255334914,2993
5.073237508555784,0.11405154833797586,0.6340530295945025,0.2240530998018273,2992
5.075975359342916,0.11405154833797586,0.6340530295945025,0.2240530998018273,2990
5.078713210130048,0.11405154833797586,0.6341375866344714,0.2240530998018273,2979
5.08145106091718,0.11413616220391254,0.6341375866344714,0.22431383464732402,2976
5.084188911704312,0.11439000380172257,0.6342222005004081,0.22509603918381416,2975
5.086926762491444,0.11447461766765925,0.6342222005004081,0.2253568617892724,2971
5.089664613278576,0.11447461766765925,0.6343068143663448,0.2253568617892724,2970
5.092402464065708,0.11455923153359593,0.6351529530257116,0.22561777224336832,2969
5.0951403148528405,0.11464384539953261,0.6352375668916483,0.2258795647476809,2958
5.0978781656399725,0.11481307313140596,0.6352375668916483,0.2264033268824931,2956
5.100616016427105,0.11489768699734264,0.6354067946235217,0.2266652079498992,2954
5.103353867214237,0.11489768699734264,0.6354914084894584,0.2266652079498992,2951
5.106091718001369,0.11515152859515267,0.6358298639532051,0.22745165011130608,2950
5.108829568788501,0.11523614246108935,0.6359990916850784,0.22771415379798254,2943
5.111567419575633,0.1154053701929627,0.6360837055510151,0.2282395183192084,2940
5.114305270362765,0.11548998405889938,0.6365067748806985,0.2285022900187933,2937
5.117043121149897,0.11548998405889938,0.6367606164785086,0.2285022900187933,2931
5.119780971937029,0.11565926960687518,0.6367606164785086,0.22902944936965164,2927
5.122518822724161,0.11565926960687518,0.6368452882000936,0.22902944936965164,2924
5.127994524298426,0.1157439413284602,0.6368452882000936,0.22929320939381526,2923
5.130732375085558,0.11591328477163025,0.6371839750864337,0.2298207294421426,2922
