region,years,cif_built,cif_withdrawn
CAISO,0.9089664613278576,0.0023875845602865098,0.272184639872663
CAISO,0.9117043121149897,0.0023875845602865098,0.27337843215280627
CAISO,0.9144421629021219,0.0023875845602865098,0.2749701551929973
CAISO,0.917180013689254,0.0023875845602865098,0.27576601671309275
CAISO,0.919917864476386,0.0023875845602865098,0.27855153203342703
CAISO,0.9226557152635181,0.0023875845602865098,0.2797453243135703
CAISO,0.9253935660506503,0.0023875845602865098,0.2805411858336658
CAISO,0.9281314168377823,0.0023875845602865098,0.2809391165937135
CAISO,0.9336071184120466,0.0023875845602865098,0.2821329088738568
CAISO,0.9363449691991786,0.0023875845602865098,0.2837246319140478
CAISO,0.9390828199863107,0.0023875845602865098,0.2845204934341433
CAISO,0.9418206707734429,0.0023875845602865098,0.2857142857142866
CAISO,0.944558521560575,0.0023875845602865098,0.28690807799442986
CAISO,0.947296372347707,0.0023875845602865098,0.2881018702745731
CAISO,0.9500342231348392,0.0023875845602865098,0.29128531635495514
CAISO,0.9527720739219713,0.0023875845602865098,0.2920811778750506
CAISO,0.9555099247091033,0.0023875845602865098,0.2936729009152416
CAISO,0.9582477754962354,0.0027855153203342614,0.2964584162355759
CAISO,0.9609856262833676,0.0027855153203342614,0.29725427775567137
CAISO,0.9637234770704997,0.0027855153203342614,0.3004377238360534
CAISO,0.9664613278576317,0.0027855153203342614,0.3008356545961011
CAISO,0.9691991786447639,0.0027855153203342614,0.3036211699164354
